text,sentiment
"sir okay armygreen shorts nice ",5
"di pareha yong mga size nila may sobrang liit akjejrjrjjfjjriro4k4jrjrjfjrjrjrjrjjtjrj",5
"super worth it ang ganda Sombra grabi order na kayo di kayo magsisisisis sobranh ganda order ulit ako at ang bilis dumating",5
"ganda po salamat",5
"maayos pagkadeliver maganda den sya",5
"ang gnda nang short nagustohan nang binigyan ko salamat din sa delivery guy ang bait Niya Thank you po kuya ",4
"maganda sya medyo manipis nga lang .. ",4
"",4
"",4
"manipis pla at ska dami himulmol ng sinulid, di maganda ang tahi.. di nko uulit s inyo... s madaling salita PANGET NG GAWA",2
"madali maponit",2
"Unsatisfied. Poor quality. easily torn.",1
"Thank You ang Ganda niyaUmorder ulit ako ng 50pcs sana my free na kahit 3 pcs hehehe",5
"Good quality at maayos naman ang pagkakabalot. thank you seller.",5
"ganda niyatry lang oorder ulit. kala ko malapad Hindi pala. pero ang ganda Saka madikit",5
"GandaGanda GandagandaGandaGanda GandaGandaGanda ",5
"ang ganda superrrrr...makapit pa sa dingding kahit pa rough ang dingding...thanks seller at sa mamang nag deliver..order ulit aq",5
"Ok naman yung bricks diko inexpect na malaki kase mura lang and manipis pala sya di parehas pag sa store ka talaga bumili. pero ok na sya for the price mura lang naman eh nakuha ko lang sya ng 216pesos 20pcs na",4
"I love the color.. I like it so much.. kaso sobrang tagal ng delivery .. umabot ng.3days bago dumating yung order ko bago nadeliver ",4
"Satisfied ",4
"nice cute satisfied",4
"Maganda yung quality nya. Waterproof",4
"Halatang ginupit ang mga brick wall nakaka dismaya wag kayo omorder jan",1
"I'm sorry but I expect its like what I bought at the mall last week regarding the size... Masyado po palang maliit lang.. May ganun pala na size? Di ko gusto ang size poh.. Subra liit niya",2
"mint green order q dumatng light green...makaiba 2loy ang qlay....ok na rin hassle kc magbalik...manipis lng xa pero madikit...sad pti ung pink light ang ibngy",2
"12pcs order Ang binigay 3pcs Ang mahal na ng shipping Ang mahal pa pala Neto 60 Isa pala! kaloka! ",1
"Wala Naman pong problema maganda Naman po",1
"Halatang ginupit ang mga brick wall nakaka dismaya wag kayo omorder jan",1
"12pcs order Ang binigay 3pcs Ang mahal na ng shiffing Ang mahal pa pala Neto 60 Isa pala! kaloka! ",1
"Wala Naman pong problema maganda Naman po",1
"baka gusto ninyo makatikim ng mura sa panloloko ninyo? post ninyo na size iba sa actual size nq dumating.",1
"Thank u seller..I recvd the items in gud condition.. Npakganda ng product na 2 nkakasosyal ng bedroom nmin..love it so much ",1
"sobrang sulit sa presyo nya na 30gb na no expiration. wala pangamba maubusan ng data lagi ka updated sa mga social message kapag nasa byahe. pang 2nd order ko na ito. salamat sa GOMO Sim",5
"tested for my piso wifi... and it's working... I got 15 - 20 mbps download speed and a upload speed of 5 - 15 mbps... hope there's always unli on this promo...",5
"ok naman, mdyo yupi lang yung packaging.. pero oks lang mhlga is andun yung sim at data..di ko nabubuksan kc pang benta ko.. tnx sa rider..",5
"received na nko ang parcel.. ang rider ky vrry good pd, maikog ko ky ghatod gjd gihapon nja maski sgeg uwan.uwan. Thankyou kuya rider and lazadaaaaa",5
