text,sentiment
tao,positive
iba,positive
uri,positive
a,positive
pangunahin,positive
maraming,positive
katulad,positive
kilala,positive
bago,positive
kilalang,positive
gaya,positive
kaya,positive
tungkol,positive
diyos,positive
mataas,positive
malapit,positive
katangian,positive
ibig,positive
tunay,positive
pagkain,positive
malawak,positive
kaugnayan,positive
init,positive
nanalo,positive
mahigit,positive
top,positive
aral,positive
indibidwal,positive
pagkakaiba,positive
galing,positive
paniniwala,positive
tulong,positive
makabagong,positive
right,positive
trabaho,positive
sikat,positive
itaas,positive
kakayahan,positive
tanyag,positive
gamot,positive
tiyak,positive
mabilis,positive
santo,positive
madaling,positive
liwanag,positive
natitira,positive
sapat,positive
pinakamataas,positive
matagumpay,positive
nais,positive
tagumpay,positive
guro,positive
malamang,positive
mahusay,positive
kalayaan,positive
mahalaga,positive
banal,positive
popular,positive
pagtaas,positive
karapatan,positive
karagdagan,positive
kabataan,positive
pananampalataya,positive
ginto,positive
pagdiriwang,positive
angkop,positive
humantong,positive
interes,positive
bulaklak,positive
pantay,positive
suporta,positive
kasunduan,positive
timbang,positive
maliwanag,positive
matatag,positive
malinaw,positive
legal,positive
parangal,positive
pagganap,positive
tama,positive
mabuti,positive
gusto,positive
bisa,positive
pera,positive
dalubhasa,positive
ambag,positive
mainit,positive
paggamot,positive
baguhin,positive
kahalagahan,positive
malalim,positive
magagamit,positive
mainam,positive
tatak,positive
talaga,positive
makuha,positive
kapayapaan,positive
nakamit,positive
bayani,positive
langit,positive
nararapat,positive
makinang,positive
maayos,positive
katulong,positive
like,positive
pasyente,positive
bantog,positive
makamit,positive
kasanayan,positive
panalo,positive
paliwanag,positive
maganda,positive
kanan,positive
isinama,positive
karangalan,positive
pagpapanatili,positive
anghel,positive
nakakuha,positive
gantimpala,positive
free,positive
kagustuhan,positive
kaagad,positive
napaka,positive
magaling,positive
medyo,positive
inspirasyon,positive
umunlad,positive
pagsulong,positive
pagkakakilanlan,positive
tuktok,positive
matibay,positive
pagkuha,positive
integral,positive
mayaman,positive
fair,positive
moralidad,positive
tagahanga,positive
nagbago,positive
important,positive
madali,positive
pagkilos,positive
kayamanan,positive
pagkakaisa,positive
kagandahan,positive
karunungan,positive
responsable,positive
pagpapatuloy,positive
pundasyon,positive
ligtas,positive
malambot,positive
talento,positive
kasiyahan,positive
well,positive
katanyagan,positive
work,positive
nakaligtas,positive
love,positive
manalo,positive
katiyakan,positive
umuunlad,positive
nagtagumpay,positive
mungkahi,positive
mabuhay,positive
kontribusyon,positive
kapitan,positive
tulungan,positive
pagmamahal,positive
tumutugon,positive
reporma,positive
palatandaan,positive
kabutihan,positive
droga,positive
tapat,positive
umaasa,positive
nagtrabaho,positive
lunas,positive
tahimik,positive
gintong,positive
positibo,positive
makapangyarihan,positive
marunong,positive
kapalaran,positive
solid,positive
pangako,positive
pakinabang,positive
galang,positive
makapal,positive
abot,positive
paggalang,positive
malinis,positive
gumagana,positive
best,positive
handog,positive
pinakamagaling,positive
nangunguna,positive
katwiran,positive
award,positive
simple,positive
katapatan,positive
panginoon,positive
matamis,positive
kampeon,positive
good,positive
abogado,positive
magagawa,positive
tangi,positive
nagagamit,positive
pinapayagan,positive
napatunayan,positive
mahilig,positive
suportahan,positive
nakatulong,positive
won,positive
nangingibabaw,positive
matapang,positive
pabor,positive
klasiko,positive
reputasyon,positive
napanalunan,positive
nagpapatunay,positive
upgraded,positive
patunay,positive
hangarin,positive
talent,positive
nabago,positive
patunayan,positive
kahusayan,positive
kababalaghan,positive
humahantong,positive
handa,positive
katalinuhan,positive
pinarangalan,positive
pangngalan,positive
nagagawa,positive
magtrabaho,positive
dalisay,positive
ayusin,positive
proteksyon,positive
pagpapabuti,positive
maingat,positive
maalamat,positive
siksik,positive
kabanalan,positive
diplomatiko,positive
libre,positive
papuri,positive
tumawag,positive
rebolusyonaryo,positive
gulugod,positive
available,positive
abilidad,positive
masaya,positive
lead,positive
tiwala,positive
talunin,positive
pandinig,positive
nagbubunga,positive
masigasig,positive
kagalingan,positive
yumabong,positive
paghahayag,positive
malusog,positive
kasaganaan,positive
magkamit,positive
ipagtanggol,positive
tagapagligtas,positive
great,positive
katatagan,positive
appropriate,positive
pagpayag,positive
pagkakasundo,positive
makinis,positive
dakila,positive
kaligayahan,positive
kalayaang,positive
amo,positive
pangingibabaw,positive
pagkakahawig,positive
milagro,positive
mabisa,positive
katapangan,positive
strong,positive
positive,positive
moderno,positive
minamahal,positive
liriko,positive
iginawad,positive
support,positive
makakamit,positive
makabayan,positive
hot,positive
himala,positive
fans,positive
aliw,positive
tipan,positive
matapat,positive
makulay,positive
katuparan,positive
espirituwal,positive
basal,positive
Masters,positive
salamangka,positive
pagtatagumpay,positive
pagawaan,positive
nakatutulong,positive
maalam,positive
clear,positive
talino,positive
gold,positive
Mabuhay,positive
tapang,positive
nagkakahalaga,positive
masigla,positive
hanga,positive
works,positive
pribilehiyo,positive
pagtitiwala,positive
katamtaman,positive
pangwakas,positive
mapayapa,positive
manliligaw,positive
kusa,positive
katatawanan,positive
sagana,positive
romantiko,positive
premyo,positive
pili,positive
pananggalang,positive
palayain,positive
pagpapalaya,positive
matalino,positive
mapabuti,positive
pagsamahin,positive
mabait,positive
akay,positive
pasasalamat,positive
masarap,positive
marangal,positive
makatwiran,positive
makatotohanan,positive
maestro,positive
awards,positive
superior,positive
sigla,positive
pino,positive
pinakasimpleng,positive
kalamangan,positive
hiyas,positive
gamutin,positive
better,positive
wasto,positive
sariwa,positive
napakahalaga,positive
matindi,positive
makabago,positive
kalinisan,positive
gana,positive
variety,positive
suportado,positive
pinakamabilis,positive
pagwawagi,positive
nagsasarili,positive
idolo,positive
panlinis,positive
paborito,positive
optimal,positive
naririnig,positive
dinamika,positive
super,positive
sigurado,positive
pinakamainam,positive
paunlarin,positive
pagbawi,positive
pagbati,positive
makasaysayan,positive
